text	curie	name	predicate	source
BSD Zero Clause License	spdx:0BSD	BSD Zero Clause License	rdfs:label	spdx
3D Slicer License v1.0	spdx:3D-Slicer-1.0	3D Slicer License v1.0	rdfs:label	spdx
Attribution Assurance License	spdx:AAL	Attribution Assurance License	rdfs:label	spdx
Amazon Digital Services License	spdx:ADSL	Amazon Digital Services License	rdfs:label	spdx
Academic Free License v1.1	spdx:AFL-1.1	Academic Free License v1.1	rdfs:label	spdx
Academic Free License v1.2	spdx:AFL-1.2	Academic Free License v1.2	rdfs:label	spdx
Academic Free License v2.0	spdx:AFL-2.0	Academic Free License v2.0	rdfs:label	spdx
Academic Free License v2.1	spdx:AFL-2.1	Academic Free License v2.1	rdfs:label	spdx
Academic Free License v3.0	spdx:AFL-3.0	Academic Free License v3.0	rdfs:label	spdx
Affero General Public License v1.0	spdx:AGPL-1.0	Affero General Public License v1.0	rdfs:label	spdx
Affero General Public License v1.0 only	spdx:AGPL-1.0-only	Affero General Public License v1.0 only	rdfs:label	spdx
Affero General Public License v1.0 or later	spdx:AGPL-1.0-or-later	Affero General Public License v1.0 or later	rdfs:label	spdx
GNU Affero General Public License v3.0	spdx:AGPL-3.0	GNU Affero General Public License v3.0	rdfs:label	spdx
GNU Affero General Public License v3.0 only	spdx:AGPL-3.0-only	GNU Affero General Public License v3.0 only	rdfs:label	spdx
GNU Affero General Public License v3.0 or later	spdx:AGPL-3.0-or-later	GNU Affero General Public License v3.0 or later	rdfs:label	spdx
AMD newlib License	spdx:AMD-newlib	AMD newlib License	rdfs:label	spdx
AMD's plpa_map.c License	spdx:AMDPLPA	AMD's plpa_map.c License	rdfs:label	spdx
Apple MIT License	spdx:AML	Apple MIT License	rdfs:label	spdx
AML glslang variant License	spdx:AML-glslang	AML glslang variant License	rdfs:label	spdx
Academy of Motion Picture Arts and Sciences BSD	spdx:AMPAS	Academy of Motion Picture Arts and Sciences BSD	rdfs:label	spdx
ANTLR Software Rights Notice	spdx:ANTLR-PD	ANTLR Software Rights Notice	rdfs:label	spdx
ANTLR Software Rights Notice with license fallback	spdx:ANTLR-PD-fallback	ANTLR Software Rights Notice with license fallback	rdfs:label	spdx
Adobe Postscript AFM License	spdx:APAFML	Adobe Postscript AFM License	rdfs:label	spdx
Adaptive Public License 1.0	spdx:APL-1.0	Adaptive Public License 1.0	rdfs:label	spdx
Apple Public Source License 1.0	spdx:APSL-1.0	Apple Public Source License 1.0	rdfs:label	spdx
Apple Public Source License 1.1	spdx:APSL-1.1	Apple Public Source License 1.1	rdfs:label	spdx
Apple Public Source License 1.2	spdx:APSL-1.2	Apple Public Source License 1.2	rdfs:label	spdx
Apple Public Source License 2.0	spdx:APSL-2.0	Apple Public Source License 2.0	rdfs:label	spdx
ASWF Digital Assets License version 1.0	spdx:ASWF-Digital-Assets-1.0	ASWF Digital Assets License version 1.0	rdfs:label	spdx
ASWF Digital Assets License 1.1	spdx:ASWF-Digital-Assets-1.1	ASWF Digital Assets License 1.1	rdfs:label	spdx
Abstyles License	spdx:Abstyles	Abstyles License	rdfs:label	spdx
AdaCore Doc License	spdx:AdaCore-doc	AdaCore Doc License	rdfs:label	spdx
Adobe Systems Incorporated Source Code License Agreement	spdx:Adobe-2006	Adobe Systems Incorporated Source Code License Agreement	rdfs:label	spdx
Adobe Display PostScript License	spdx:Adobe-Display-PostScript	Adobe Display PostScript License	rdfs:label	spdx
Adobe Glyph List License	spdx:Adobe-Glyph	Adobe Glyph List License	rdfs:label	spdx
Adobe Utopia Font License	spdx:Adobe-Utopia	Adobe Utopia Font License	rdfs:label	spdx
Afmparse License	spdx:Afmparse	Afmparse License	rdfs:label	spdx
Aladdin Free Public License	spdx:Aladdin	Aladdin Free Public License	rdfs:label	spdx
Apache License 1.0	spdx:Apache-1.0	Apache License 1.0	rdfs:label	spdx
Apache License 1.1	spdx:Apache-1.1	Apache License 1.1	rdfs:label	spdx
Apache License 2.0	spdx:Apache-2.0	Apache License 2.0	rdfs:label	spdx
App::s2p License	spdx:App-s2p	App::s2p License	rdfs:label	spdx
Arphic Public License	spdx:Arphic-1999	Arphic Public License	rdfs:label	spdx
Artistic License 1.0	spdx:Artistic-1.0	Artistic License 1.0	rdfs:label	spdx
Artistic License 1.0 (Perl)	spdx:Artistic-1.0-Perl	Artistic License 1.0 (Perl)	rdfs:label	spdx
Artistic License 1.0 w/clause 8	spdx:Artistic-1.0-cl8	Artistic License 1.0 w/clause 8	rdfs:label	spdx
Artistic License 2.0	spdx:Artistic-2.0	Artistic License 2.0	rdfs:label	spdx
Artistic License 1.0 (dist)	spdx:Artistic-dist	Artistic License 1.0 (dist)	rdfs:label	spdx
Aspell Russian License	spdx:Aspell-RU	Aspell Russian License	rdfs:label	spdx
BSD 1-Clause License	spdx:BSD-1-Clause	BSD 1-Clause License	rdfs:label	spdx
"BSD 2-Clause ""Simplified"" License"	spdx:BSD-2-Clause	"BSD 2-Clause ""Simplified"" License"	rdfs:label	spdx
BSD 2-Clause - Ian Darwin variant	spdx:BSD-2-Clause-Darwin	BSD 2-Clause - Ian Darwin variant	rdfs:label	spdx
BSD 2-Clause FreeBSD License	spdx:BSD-2-Clause-FreeBSD	BSD 2-Clause FreeBSD License	rdfs:label	spdx
BSD 2-Clause NetBSD License	spdx:BSD-2-Clause-NetBSD	BSD 2-Clause NetBSD License	rdfs:label	spdx
BSD-2-Clause Plus Patent License	spdx:BSD-2-Clause-Patent	BSD-2-Clause Plus Patent License	rdfs:label	spdx
BSD 2-Clause with views sentence	spdx:BSD-2-Clause-Views	BSD 2-Clause with views sentence	rdfs:label	spdx
BSD 2-Clause - first lines requirement	spdx:BSD-2-Clause-first-lines	BSD 2-Clause - first lines requirement	rdfs:label	spdx
BSD 2-Clause pkgconf disclaimer variant	spdx:BSD-2-Clause-pkgconf-disclaimer	BSD 2-Clause pkgconf disclaimer variant	rdfs:label	spdx
"BSD 3-Clause ""New"" or ""Revised"" License"	spdx:BSD-3-Clause	"BSD 3-Clause ""New"" or ""Revised"" License"	rdfs:label	spdx
BSD with attribution	spdx:BSD-3-Clause-Attribution	BSD with attribution	rdfs:label	spdx
BSD 3-Clause Clear License	spdx:BSD-3-Clause-Clear	BSD 3-Clause Clear License	rdfs:label	spdx
Hewlett-Packard BSD variant license	spdx:BSD-3-Clause-HP	Hewlett-Packard BSD variant license	rdfs:label	spdx
Lawrence Berkeley National Labs BSD variant license	spdx:BSD-3-Clause-LBNL	Lawrence Berkeley National Labs BSD variant license	rdfs:label	spdx
BSD 3-Clause Modification	spdx:BSD-3-Clause-Modification	BSD 3-Clause Modification	rdfs:label	spdx
BSD 3-Clause No Military License	spdx:BSD-3-Clause-No-Military-License	BSD 3-Clause No Military License	rdfs:label	spdx
BSD 3-Clause No Nuclear License	spdx:BSD-3-Clause-No-Nuclear-License	BSD 3-Clause No Nuclear License	rdfs:label	spdx
BSD 3-Clause No Nuclear License 2014	spdx:BSD-3-Clause-No-Nuclear-License-2014	BSD 3-Clause No Nuclear License 2014	rdfs:label	spdx
BSD 3-Clause No Nuclear Warranty	spdx:BSD-3-Clause-No-Nuclear-Warranty	BSD 3-Clause No Nuclear Warranty	rdfs:label	spdx
BSD 3-Clause Open MPI variant	spdx:BSD-3-Clause-Open-MPI	BSD 3-Clause Open MPI variant	rdfs:label	spdx
BSD 3-Clause Sun Microsystems	spdx:BSD-3-Clause-Sun	BSD 3-Clause Sun Microsystems	rdfs:label	spdx
BSD 3-Clause acpica variant	spdx:BSD-3-Clause-acpica	BSD 3-Clause acpica variant	rdfs:label	spdx
BSD 3-Clause Flex variant	spdx:BSD-3-Clause-flex	BSD 3-Clause Flex variant	rdfs:label	spdx
"BSD 4-Clause ""Original"" or ""Old"" License"	spdx:BSD-4-Clause	"BSD 4-Clause ""Original"" or ""Old"" License"	rdfs:label	spdx
BSD 4 Clause Shortened	spdx:BSD-4-Clause-Shortened	BSD 4 Clause Shortened	rdfs:label	spdx
BSD-4-Clause (University of California-Specific)	spdx:BSD-4-Clause-UC	BSD-4-Clause (University of California-Specific)	rdfs:label	spdx
BSD 4.3 RENO License	spdx:BSD-4.3RENO	BSD 4.3 RENO License	rdfs:label	spdx
BSD 4.3 TAHOE License	spdx:BSD-4.3TAHOE	BSD 4.3 TAHOE License	rdfs:label	spdx
BSD Advertising Acknowledgement License	spdx:BSD-Advertising-Acknowledgement	BSD Advertising Acknowledgement License	rdfs:label	spdx
BSD with Attribution and HPND disclaimer	spdx:BSD-Attribution-HPND-disclaimer	BSD with Attribution and HPND disclaimer	rdfs:label	spdx
BSD-Inferno-Nettverk	spdx:BSD-Inferno-Nettverk	BSD-Inferno-Nettverk	rdfs:label	spdx
BSD Protection License	spdx:BSD-Protection	BSD Protection License	rdfs:label	spdx
BSD Source Code Attribution	spdx:BSD-Source-Code	BSD Source Code Attribution	rdfs:label	spdx
BSD Source Code Attribution - beginning of file variant	spdx:BSD-Source-beginning-file	BSD Source Code Attribution - beginning of file variant	rdfs:label	spdx
Systemics BSD variant license	spdx:BSD-Systemics	Systemics BSD variant license	rdfs:label	spdx
Systemics W3Works BSD variant license	spdx:BSD-Systemics-W3Works	Systemics W3Works BSD variant license	rdfs:label	spdx
Boost Software License 1.0	spdx:BSL-1.0	Boost Software License 1.0	rdfs:label	spdx
Business Source License 1.1	spdx:BUSL-1.1	Business Source License 1.1	rdfs:label	spdx
Baekmuk License	spdx:Baekmuk	Baekmuk License	rdfs:label	spdx
Bahyph License	spdx:Bahyph	Bahyph License	rdfs:label	spdx
Barr License	spdx:Barr	Barr License	rdfs:label	spdx
Beerware License	spdx:Beerware	Beerware License	rdfs:label	spdx
BitTorrent Open Source License v1.0	spdx:BitTorrent-1.0	BitTorrent Open Source License v1.0	rdfs:label	spdx
BitTorrent Open Source License v1.1	spdx:BitTorrent-1.1	BitTorrent Open Source License v1.1	rdfs:label	spdx
Bitstream Charter Font License	spdx:Bitstream-Charter	Bitstream Charter Font License	rdfs:label	spdx
Bitstream Vera Font License	spdx:Bitstream-Vera	Bitstream Vera Font License	rdfs:label	spdx
Blue Oak Model License 1.0.0	spdx:BlueOak-1.0.0	Blue Oak Model License 1.0.0	rdfs:label	spdx
Boehm-Demers-Weiser GC License	spdx:Boehm-GC	Boehm-Demers-Weiser GC License	rdfs:label	spdx
Boehm-Demers-Weiser GC License (without fee)	spdx:Boehm-GC-without-fee	Boehm-Demers-Weiser GC License (without fee)	rdfs:label	spdx
Borceux license	spdx:Borceux	Borceux license	rdfs:label	spdx
Brian Gladman 2-Clause License	spdx:Brian-Gladman-2-Clause	Brian Gladman 2-Clause License	rdfs:label	spdx
Brian Gladman 3-Clause License	spdx:Brian-Gladman-3-Clause	Brian Gladman 3-Clause License	rdfs:label	spdx
Computational Use of Data Agreement v1.0	spdx:C-UDA-1.0	Computational Use of Data Agreement v1.0	rdfs:label	spdx
Cryptographic Autonomy License 1.0	spdx:CAL-1.0	Cryptographic Autonomy License 1.0	rdfs:label	spdx
Cryptographic Autonomy License 1.0 (Combined Work Exception)	spdx:CAL-1.0-Combined-Work-Exception	Cryptographic Autonomy License 1.0 (Combined Work Exception)	rdfs:label	spdx
Computer Associates Trusted Open Source License 1.1	spdx:CATOSL-1.1	Computer Associates Trusted Open Source License 1.1	rdfs:label	spdx
Creative Commons Attribution 1.0 Generic	spdx:CC-BY-1.0	Creative Commons Attribution 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution 2.0 Generic	spdx:CC-BY-2.0	Creative Commons Attribution 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution 2.5 Generic	spdx:CC-BY-2.5	Creative Commons Attribution 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution 2.5 Australia	spdx:CC-BY-2.5-AU	Creative Commons Attribution 2.5 Australia	rdfs:label	spdx
Creative Commons Attribution 3.0 Unported	spdx:CC-BY-3.0	Creative Commons Attribution 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution 3.0 Austria	spdx:CC-BY-3.0-AT	Creative Commons Attribution 3.0 Austria	rdfs:label	spdx
Creative Commons Attribution 3.0 Australia	spdx:CC-BY-3.0-AU	Creative Commons Attribution 3.0 Australia	rdfs:label	spdx
Creative Commons Attribution 3.0 Germany	spdx:CC-BY-3.0-DE	Creative Commons Attribution 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution 3.0 IGO	spdx:CC-BY-3.0-IGO	Creative Commons Attribution 3.0 IGO	rdfs:label	spdx
Creative Commons Attribution 3.0 Netherlands	spdx:CC-BY-3.0-NL	Creative Commons Attribution 3.0 Netherlands	rdfs:label	spdx
Creative Commons Attribution 3.0 United States	spdx:CC-BY-3.0-US	Creative Commons Attribution 3.0 United States	rdfs:label	spdx
Creative Commons Attribution 4.0 International	spdx:CC-BY-4.0	Creative Commons Attribution 4.0 International	rdfs:label	spdx
Creative Commons Attribution Non Commercial 1.0 Generic	spdx:CC-BY-NC-1.0	Creative Commons Attribution Non Commercial 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial 2.0 Generic	spdx:CC-BY-NC-2.0	Creative Commons Attribution Non Commercial 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial 2.5 Generic	spdx:CC-BY-NC-2.5	Creative Commons Attribution Non Commercial 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial 3.0 Unported	spdx:CC-BY-NC-3.0	Creative Commons Attribution Non Commercial 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution Non Commercial 3.0 Germany	spdx:CC-BY-NC-3.0-DE	Creative Commons Attribution Non Commercial 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution Non Commercial 4.0 International	spdx:CC-BY-NC-4.0	Creative Commons Attribution Non Commercial 4.0 International	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic	spdx:CC-BY-NC-ND-1.0	Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic	spdx:CC-BY-NC-ND-2.0	Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic	spdx:CC-BY-NC-ND-2.5	Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported	spdx:CC-BY-NC-ND-3.0	Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany	spdx:CC-BY-NC-ND-3.0-DE	Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO	spdx:CC-BY-NC-ND-3.0-IGO	Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 4.0 International	spdx:CC-BY-NC-ND-4.0	Creative Commons Attribution Non Commercial No Derivatives 4.0 International	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic	spdx:CC-BY-NC-SA-1.0	Creative Commons Attribution Non Commercial Share Alike 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic	spdx:CC-BY-NC-SA-2.0	Creative Commons Attribution Non Commercial Share Alike 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 2.0 Germany	spdx:CC-BY-NC-SA-2.0-DE	Creative Commons Attribution Non Commercial Share Alike 2.0 Germany	rdfs:label	spdx
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France	spdx:CC-BY-NC-SA-2.0-FR	Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales	spdx:CC-BY-NC-SA-2.0-UK	Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 2.5 Generic	spdx:CC-BY-NC-SA-2.5	Creative Commons Attribution Non Commercial Share Alike 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 3.0 Unported	spdx:CC-BY-NC-SA-3.0	Creative Commons Attribution Non Commercial Share Alike 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 3.0 Germany	spdx:CC-BY-NC-SA-3.0-DE	Creative Commons Attribution Non Commercial Share Alike 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 3.0 IGO	spdx:CC-BY-NC-SA-3.0-IGO	Creative Commons Attribution Non Commercial Share Alike 3.0 IGO	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 4.0 International	spdx:CC-BY-NC-SA-4.0	Creative Commons Attribution Non Commercial Share Alike 4.0 International	rdfs:label	spdx
Creative Commons Attribution No Derivatives 1.0 Generic	spdx:CC-BY-ND-1.0	Creative Commons Attribution No Derivatives 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution No Derivatives 2.0 Generic	spdx:CC-BY-ND-2.0	Creative Commons Attribution No Derivatives 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution No Derivatives 2.5 Generic	spdx:CC-BY-ND-2.5	Creative Commons Attribution No Derivatives 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution No Derivatives 3.0 Unported	spdx:CC-BY-ND-3.0	Creative Commons Attribution No Derivatives 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution No Derivatives 3.0 Germany	spdx:CC-BY-ND-3.0-DE	Creative Commons Attribution No Derivatives 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution No Derivatives 4.0 International	spdx:CC-BY-ND-4.0	Creative Commons Attribution No Derivatives 4.0 International	rdfs:label	spdx
Creative Commons Attribution Share Alike 1.0 Generic	spdx:CC-BY-SA-1.0	Creative Commons Attribution Share Alike 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution Share Alike 2.0 Generic	spdx:CC-BY-SA-2.0	Creative Commons Attribution Share Alike 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution Share Alike 2.0 England and Wales	spdx:CC-BY-SA-2.0-UK	Creative Commons Attribution Share Alike 2.0 England and Wales	rdfs:label	spdx
Creative Commons Attribution Share Alike 2.1 Japan	spdx:CC-BY-SA-2.1-JP	Creative Commons Attribution Share Alike 2.1 Japan	rdfs:label	spdx
Creative Commons Attribution Share Alike 2.5 Generic	spdx:CC-BY-SA-2.5	Creative Commons Attribution Share Alike 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution Share Alike 3.0 Unported	spdx:CC-BY-SA-3.0	Creative Commons Attribution Share Alike 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution Share Alike 3.0 Austria	spdx:CC-BY-SA-3.0-AT	Creative Commons Attribution Share Alike 3.0 Austria	rdfs:label	spdx
Creative Commons Attribution Share Alike 3.0 Germany	spdx:CC-BY-SA-3.0-DE	Creative Commons Attribution Share Alike 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution-ShareAlike 3.0 IGO	spdx:CC-BY-SA-3.0-IGO	Creative Commons Attribution-ShareAlike 3.0 IGO	rdfs:label	spdx
Creative Commons Attribution Share Alike 4.0 International	spdx:CC-BY-SA-4.0	Creative Commons Attribution Share Alike 4.0 International	rdfs:label	spdx
Creative Commons Public Domain Dedication and Certification	spdx:CC-PDDC	Creative Commons Public Domain Dedication and Certification	rdfs:label	spdx
Creative    Commons Public Domain Mark 1.0 Universal	spdx:CC-PDM-1.0	Creative    Commons Public Domain Mark 1.0 Universal	rdfs:label	spdx
Creative Commons Share Alike 1.0 Generic	spdx:CC-SA-1.0	Creative Commons Share Alike 1.0 Generic	rdfs:label	spdx
Creative Commons Zero v1.0 Universal	spdx:CC0-1.0	Creative Commons Zero v1.0 Universal	rdfs:label	spdx
Common Development and Distribution License 1.0	spdx:CDDL-1.0	Common Development and Distribution License 1.0	rdfs:label	spdx
Common Development and Distribution License 1.1	spdx:CDDL-1.1	Common Development and Distribution License 1.1	rdfs:label	spdx
Common Documentation License 1.0	spdx:CDL-1.0	Common Documentation License 1.0	rdfs:label	spdx
Community Data License Agreement Permissive 1.0	spdx:CDLA-Permissive-1.0	Community Data License Agreement Permissive 1.0	rdfs:label	spdx
Community Data License Agreement Permissive 2.0	spdx:CDLA-Permissive-2.0	Community Data License Agreement Permissive 2.0	rdfs:label	spdx
Community Data License Agreement Sharing 1.0	spdx:CDLA-Sharing-1.0	Community Data License Agreement Sharing 1.0	rdfs:label	spdx
CeCILL Free Software License Agreement v1.0	spdx:CECILL-1.0	CeCILL Free Software License Agreement v1.0	rdfs:label	spdx
CeCILL Free Software License Agreement v1.1	spdx:CECILL-1.1	CeCILL Free Software License Agreement v1.1	rdfs:label	spdx
CeCILL Free Software License Agreement v2.0	spdx:CECILL-2.0	CeCILL Free Software License Agreement v2.0	rdfs:label	spdx
CeCILL Free Software License Agreement v2.1	spdx:CECILL-2.1	CeCILL Free Software License Agreement v2.1	rdfs:label	spdx
CeCILL-B Free Software License Agreement	spdx:CECILL-B	CeCILL-B Free Software License Agreement	rdfs:label	spdx
CeCILL-C Free Software License Agreement	spdx:CECILL-C	CeCILL-C Free Software License Agreement	rdfs:label	spdx
CERN Open Hardware Licence v1.1	spdx:CERN-OHL-1.1	CERN Open Hardware Licence v1.1	rdfs:label	spdx
CERN Open Hardware Licence v1.2	spdx:CERN-OHL-1.2	CERN Open Hardware Licence v1.2	rdfs:label	spdx
CERN Open Hardware Licence Version 2 - Permissive	spdx:CERN-OHL-P-2.0	CERN Open Hardware Licence Version 2 - Permissive	rdfs:label	spdx
CERN Open Hardware Licence Version 2 - Strongly Reciprocal	spdx:CERN-OHL-S-2.0	CERN Open Hardware Licence Version 2 - Strongly Reciprocal	rdfs:label	spdx
CERN Open Hardware Licence Version 2 - Weakly Reciprocal	spdx:CERN-OHL-W-2.0	CERN Open Hardware Licence Version 2 - Weakly Reciprocal	rdfs:label	spdx
CFITSIO License	spdx:CFITSIO	CFITSIO License	rdfs:label	spdx
CMU Mach License	spdx:CMU-Mach	CMU Mach License	rdfs:label	spdx
CMU    Mach - no notices-in-documentation variant	spdx:CMU-Mach-nodoc	CMU    Mach - no notices-in-documentation variant	rdfs:label	spdx
CNRI Jython License	spdx:CNRI-Jython	CNRI Jython License	rdfs:label	spdx
CNRI Python License	spdx:CNRI-Python	CNRI Python License	rdfs:label	spdx
CNRI Python Open Source GPL Compatible License Agreement	spdx:CNRI-Python-GPL-Compatible	CNRI Python Open Source GPL Compatible License Agreement	rdfs:label	spdx
Copyfree Open Innovation License	spdx:COIL-1.0	Copyfree Open Innovation License	rdfs:label	spdx
Common Public Attribution License 1.0	spdx:CPAL-1.0	Common Public Attribution License 1.0	rdfs:label	spdx
Common Public License 1.0	spdx:CPL-1.0	Common Public License 1.0	rdfs:label	spdx
Code Project Open License 1.02	spdx:CPOL-1.02	Code Project Open License 1.02	rdfs:label	spdx
CUA Office Public License v1.0	spdx:CUA-OPL-1.0	CUA Office Public License v1.0	rdfs:label	spdx
Caldera License	spdx:Caldera	Caldera License	rdfs:label	spdx
Caldera License (without preamble)	spdx:Caldera-no-preamble	Caldera License (without preamble)	rdfs:label	spdx
Catharon License	spdx:Catharon	Catharon License	rdfs:label	spdx
Clarified Artistic License	spdx:ClArtistic	Clarified Artistic License	rdfs:label	spdx
Clips License	spdx:Clips	Clips License	rdfs:label	spdx
Community Specification License 1.0	spdx:Community-Spec-1.0	Community Specification License 1.0	rdfs:label	spdx
Condor Public License v1.1	spdx:Condor-1.1	Condor Public License v1.1	rdfs:label	spdx
Cornell Lossless JPEG License	spdx:Cornell-Lossless-JPEG	Cornell Lossless JPEG License	rdfs:label	spdx
Cronyx License	spdx:Cronyx	Cronyx License	rdfs:label	spdx
Crossword License	spdx:Crossword	Crossword License	rdfs:label	spdx
CryptoSwift License	spdx:CryptoSwift	CryptoSwift License	rdfs:label	spdx
CrystalStacker License	spdx:CrystalStacker	CrystalStacker License	rdfs:label	spdx
Cube License	spdx:Cube	Cube License	rdfs:label	spdx
Deutsche Freie Software Lizenz	spdx:D-FSL-1.0	Deutsche Freie Software Lizenz	rdfs:label	spdx
DEC 3-Clause License	spdx:DEC-3-Clause	DEC 3-Clause License	rdfs:label	spdx
Data licence Germany – attribution – version 2.0	spdx:DL-DE-BY-2.0	Data licence Germany – attribution – version 2.0	rdfs:label	spdx
Data licence Germany – zero – version 2.0	spdx:DL-DE-ZERO-2.0	Data licence Germany – zero – version 2.0	rdfs:label	spdx
DOC License	spdx:DOC	DOC License	rdfs:label	spdx
Detection Rule License 1.0	spdx:DRL-1.0	Detection Rule License 1.0	rdfs:label	spdx
